"INDIC_EF","AGRAREA","GEO","FARMTYPE","TIME","Value"
"Euro: Standard output (SO)","Less than 2 ha","Bulgaria","Total","2007","609,719,620"
"Euro: Standard output (SO)","Less than 2 ha","Bulgaria","Total","2010","480,699,890"
"Euro: Standard output (SO)","Less than 2 ha","Bulgaria","Total","2013","390,717,220"
"Euro: Standard output (SO)","Less than 2 ha","Czechia","Total","2005","59,039,380"
"Euro: Standard output (SO)","Less than 2 ha","Czechia","Total","2007","55,091,220"
"Euro: Standard output (SO)","Less than 2 ha","Czechia","Total","2010","24,913,730"
"Euro: Standard output (SO)","Less than 2 ha","Czechia","Total","2013","24,272,070"
"Euro: Standard output (SO)","Less than 2 ha","Denmark","Total","2005","166,141,620"
"Euro: Standard output (SO)","Less than 2 ha","Denmark","Total","2007","148,214,970"
"Euro: Standard output (SO)","Less than 2 ha","Denmark","Total","2010","137,778,740"
"Euro: Standard output (SO)","Less than 2 ha","Denmark","Total","2013","116,599,090"
"Euro: Standard output (SO)","Less than 2 ha","Germany (until 1990 former territory of the FRG)","Total","2005","1,386,215,410"
"Euro: Standard output (SO)","Less than 2 ha","Germany (until 1990 former territory of the FRG)","Total","2007","1,346,579,280"
"Euro: Standard output (SO)","Less than 2 ha","Germany (until 1990 former territory of the FRG)","Total","2010","935,914,350"
"Euro: Standard output (SO)","Less than 2 ha","Germany (until 1990 former territory of the FRG)","Total","2013","830,100,330"
"Euro: Standard output (SO)","Less than 2 ha","Estonia","Total","2005","9,818,690"
"Euro: Standard output (SO)","Less than 2 ha","Estonia","Total","2007","6,601,170"
"Euro: Standard output (SO)","Less than 2 ha","Estonia","Total","2010","5,629,210"
"Euro: Standard output (SO)","Less than 2 ha","Estonia","Total","2013","3,479,210"
"Euro: Standard output (SO)","Less than 2 ha","Ireland","Total","2005","23,247,460"
"Euro: Standard output (SO)","Less than 2 ha","Ireland","Total","2007","14,319,810"
"Euro: Standard output (SO)","Less than 2 ha","Ireland","Total","2010","155,199,320"
"Euro: Standard output (SO)","Less than 2 ha","Ireland","Total","2013","149,264,050"
"Euro: Standard output (SO)","Less than 2 ha","Greece","Total","2005","1,232,081,640"
"Euro: Standard output (SO)","Less than 2 ha","Greece","Total","2007","1,319,286,300"
"Euro: Standard output (SO)","Less than 2 ha","Greece","Total","2010","1,120,018,700"
"Euro: Standard output (SO)","Less than 2 ha","Greece","Total","2013","1,282,290,070"
"Euro: Standard output (SO)","Less than 2 ha","Spain","Total","2005","2,806,038,250"
"Euro: Standard output (SO)","Less than 2 ha","Spain","Total","2007","2,640,852,940"
"Euro: Standard output (SO)","Less than 2 ha","Spain","Total","2010","2,302,772,280"
"Euro: Standard output (SO)","Less than 2 ha","Spain","Total","2013","2,028,876,910"
"Euro: Standard output (SO)","Less than 2 ha","France","Total","2005","1,145,584,700"
"Euro: Standard output (SO)","Less than 2 ha","France","Total","2007","1,073,902,150"
"Euro: Standard output (SO)","Less than 2 ha","France","Total","2010","1,249,508,410"
"Euro: Standard output (SO)","Less than 2 ha","France","Total","2013","1,168,129,930"
"Euro: Standard output (SO)","Less than 2 ha","Croatia","Total","2005",":"
"Euro: Standard output (SO)","Less than 2 ha","Croatia","Total","2007","153,718,790"
"Euro: Standard output (SO)","Less than 2 ha","Croatia","Total","2010","265,603,820"
"Euro: Standard output (SO)","Less than 2 ha","Croatia","Total","2013","165,524,360"
"Euro: Standard output (SO)","Less than 2 ha","Italy","Total","2005","3,695,241,130"
"Euro: Standard output (SO)","Less than 2 ha","Italy","Total","2007","3,749,129,330"
"Euro: Standard output (SO)","Less than 2 ha","Italy","Total","2010","3,979,615,240"
"Euro: Standard output (SO)","Less than 2 ha","Italy","Total","2013","2,207,931,220"
"Euro: Standard output (SO)","Less than 2 ha","Cyprus","Total","2005","120,048,240"
"Euro: Standard output (SO)","Less than 2 ha","Cyprus","Total","2007","120,991,460"
"Euro: Standard output (SO)","Less than 2 ha","Cyprus","Total","2010","91,670,360"
"Euro: Standard output (SO)","Less than 2 ha","Cyprus","Total","2013","102,647,500"
"Euro: Standard output (SO)","Less than 2 ha","Latvia","Total","2005","20,574,120"
"Euro: Standard output (SO)","Less than 2 ha","Latvia","Total","2007","13,919,070"
"Euro: Standard output (SO)","Less than 2 ha","Latvia","Total","2010","6,586,930"
"Euro: Standard output (SO)","Less than 2 ha","Latvia","Total","2013","19,724,590"
"Euro: Standard output (SO)","Less than 2 ha","Lithuania","Total","2005","41,516,890"
"Euro: Standard output (SO)","Less than 2 ha","Lithuania","Total","2007","31,927,020"
"Euro: Standard output (SO)","Less than 2 ha","Lithuania","Total","2010","34,455,940"
"Euro: Standard output (SO)","Less than 2 ha","Lithuania","Total","2013","47,863,680"
"Euro: Standard output (SO)","Less than 2 ha","Luxembourg","Total","2005","2,880,590"
"Euro: Standard output (SO)","Less than 2 ha","Luxembourg","Total","2007","2,363,990"
"Euro: Standard output (SO)","Less than 2 ha","Luxembourg","Total","2010","1,793,090"
"Euro: Standard output (SO)","Less than 2 ha","Luxembourg","Total","2013","1,948,890"
"Euro: Standard output (SO)","Less than 2 ha","Hungary","Total","2005","700,556,610"
"Euro: Standard output (SO)","Less than 2 ha","Hungary","Total","2007","547,547,480"
"Euro: Standard output (SO)","Less than 2 ha","Hungary","Total","2010","613,319,030"
"Euro: Standard output (SO)","Less than 2 ha","Hungary","Total","2013","449,211,240"
"Euro: Standard output (SO)","Less than 2 ha","Malta","Total","2005","34,725,650"
"Euro: Standard output (SO)","Less than 2 ha","Malta","Total","2007","34,550,130"
"Euro: Standard output (SO)","Less than 2 ha","Malta","Total","2010","38,413,450"
"Euro: Standard output (SO)","Less than 2 ha","Malta","Total","2013","35,850,380"
"Euro: Standard output (SO)","Less than 2 ha","Netherlands","Total","2005","2,543,275,440"
"Euro: Standard output (SO)","Less than 2 ha","Netherlands","Total","2007","2,161,660,420"
"Euro: Standard output (SO)","Less than 2 ha","Netherlands","Total","2010","1,736,096,470"
"Euro: Standard output (SO)","Less than 2 ha","Netherlands","Total","2013","1,545,960,880"
"Euro: Standard output (SO)","Less than 2 ha","Austria","Total","2005","125,600,020"
"Euro: Standard output (SO)","Less than 2 ha","Austria","Total","2007","179,631,840"
"Euro: Standard output (SO)","Less than 2 ha","Austria","Total","2010","164,762,130"
"Euro: Standard output (SO)","Less than 2 ha","Austria","Total","2013","137,192,020"
"Euro: Standard output (SO)","Less than 2 ha","Poland","Total","2005","1,329,302,150"
"Euro: Standard output (SO)","Less than 2 ha","Poland","Total","2007","1,345,544,110"
"Euro: Standard output (SO)","Less than 2 ha","Poland","Total","2010","877,691,550"
"Euro: Standard output (SO)","Less than 2 ha","Poland","Total","2013","872,752,420"
"Euro: Standard output (SO)","Less than 2 ha","Portugal","Total","2005","449,030,260"
"Euro: Standard output (SO)","Less than 2 ha","Portugal","Total","2007","377,647,670"
"Euro: Standard output (SO)","Less than 2 ha","Portugal","Total","2010","512,080,460"
"Euro: Standard output (SO)","Less than 2 ha","Portugal","Total","2013","479,006,130"
"Euro: Standard output (SO)","Less than 2 ha","Romania","Total","2005","2,961,911,430"
"Euro: Standard output (SO)","Less than 2 ha","Romania","Total","2007","2,675,289,710"
"Euro: Standard output (SO)","Less than 2 ha","Romania","Total","2010","3,026,225,890"
"Euro: Standard output (SO)","Less than 2 ha","Romania","Total","2013","3,004,152,740"
"Euro: Standard output (SO)","Less than 2 ha","Slovenia","Total","2005","42,111,450"
"Euro: Standard output (SO)","Less than 2 ha","Slovenia","Total","2007","50,046,300"
"Euro: Standard output (SO)","Less than 2 ha","Slovenia","Total","2010","55,226,590"
"Euro: Standard output (SO)","Less than 2 ha","Slovenia","Total","2013","53,996,130"
"Euro: Standard output (SO)","Less than 2 ha","Slovakia","Total","2005","64,758,260"
"Euro: Standard output (SO)","Less than 2 ha","Slovakia","Total","2007","59,639,710"
"Euro: Standard output (SO)","Less than 2 ha","Slovakia","Total","2010","33,335,140"
"Euro: Standard output (SO)","Less than 2 ha","Slovakia","Total","2013","22,907,080"
"Euro: Standard output (SO)","Less than 2 ha","Finland","Total","2005","165,934,660"
"Euro: Standard output (SO)","Less than 2 ha","Finland","Total","2007","154,803,410"
